tool,size,t_parse
hdt_rs,10000,0.002237659
hdt_rs,10000,0.002827172
hdt_rs,10000,0.001460007
hdt_rs,10000,0.002659527
hdt_rs,20000,0.004389185
hdt_rs,20000,0.009763136
hdt_rs,20000,0.008802996
hdt_rs,20000,0.01047122
hdt_rs,40000,0.015429911
hdt_rs,40000,0.0140958
hdt_rs,40000,0.010367513
hdt_rs,40000,0.016101277
hdt_rs,80000,0.020564374
hdt_rs,80000,0.007497257
hdt_rs,80000,0.010578964
hdt_rs,80000,0.013640193
hdt_rs,100000,0.020118206
hdt_rs,100000,0.010234088
hdt_rs,100000,0.008596031
hdt_rs,100000,0.011439413
hdt_rs,1000000,0.063347323
hdt_rs,1000000,0.066646213
hdt_rs,1000000,0.074519215
hdt_rs,1000000,0.061143466
hdt_rs,10310000,0.675877815
hdt_rs,10310000,0.673400164
hdt_rs,10310000,0.670291396
hdt_rs,10310000,0.669236883
