tool,size,t_load,m_graph,t_first,t_rest
n3js,10000,0.05779041099999999,55540,0.00028947800000000257,0.0003634060000000261
n3js,10000,0.05718015,56464,0.0002487210000000033,0.000351822999999996
n3js,10000,0.059216412,56588,0.0002551330000000007,0.0003612760000000037
n3js,10000,0.062129168000000005,57716,0.00026081299999999885,0.00036595499999999957
n3js,20000,0.096220468,76828,0.00036482699999999113,0.0005988669999999843
n3js,20000,0.09418740799999999,76676,0.0003541670000000039,0.0005739760000000019
n3js,20000,0.09419739599999999,77540,0.00035030399999999416,0.0005719640000000083
n3js,20000,0.09374478,75604,0.0003584900000000033,0.0005904950000000042
n3js,40000,0.14514243500000001,105592,0.0004460640000000069,0.0010684320000000013
n3js,40000,0.142592715,105384,0.0004448540000000207,0.0010681960000000004
n3js,40000,0.144204461,106124,0.00045980399999999124,0.001087336999999991
n3js,40000,0.143185627,105968,0.0004550909999999817,0.0011965440000000173
n3js,80000,0.276352052,168904,0.000722567999999967,0.0019435759999999504
n3js,80000,0.27491377899999997,166636,0.0007082090000000107,0.0019190879999999879
n3js,80000,0.271544874,167384,0.0006665570000000116,0.0019318910000000074
n3js,80000,0.29397506799999995,168616,0.000664135999999985,0.0018579990000000067
n3js,100000,0.327310973,184576,0.0007356149999999957,0.002294552999999951
n3js,100000,0.32623698100000004,187868,0.0007112030000000118,0.0022982230000000072
n3js,100000,0.324234555,183612,0.0008745660000000157,0.0025117970000000014
n3js,100000,0.318166821,183048,0.0007427920000000086,0.0023202840000000153
n3js,1000000,3.302413482,1285428,0.004465027000000191,0.026555651000000124
n3js,1000000,3.25283004,1282812,0.004662222999999813,0.028257118999999876
n3js,1000000,3.276675334,1279980,0.004402022000000215,0.0286409450000001
n3js,1000000,3.235133116,1282116,0.004693407000000207,0.03481720099999984
n3js,10310000,55.696639307000005,12842704,0.23248949800000265,0.2598097899999993
n3js,10310000,57.71652619,12852788,0.23489178900000116,0.2698895130000019
n3js,10310000,55.944941002,12846656,0.24073761499999818,0.25592045100000543
n3js,10310000,56.57794503,12846152,0.22711391000000003,0.2711330319999979
